epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,5967.88,0.94161,0.42257,1.08202,0.97594,0.96928,0.98458,0.70911,1.10108,0.36608,1.13954,0.00413071,0.00413071,0.00413071
85,6305.1,0.94313,0.4201,1.08166,0.97522,0.96907,0.98611,0.70926,1.10068,0.36555,1.13925,0.00406,0.00406,0.00406
86,6642.12,0.93299,0.4147,1.07795,0.97502,0.96921,0.98615,0.70968,1.10052,0.36545,1.13918,0.00398929,0.00398929,0.00398929
87,6977.74,0.93726,0.41566,1.07627,0.97491,0.9686,0.98596,0.70958,1.10039,0.36508,1.13907,0.00391857,0.00391857,0.00391857
88,7312.37,0.93604,0.41334,1.07971,0.97501,0.96892,0.98592,0.70986,1.10046,0.36477,1.13922,0.00384786,0.00384786,0.00384786
89,7650.4,0.92984,0.41042,1.0732,0.97501,0.9689,0.98457,0.71001,1.10064,0.36452,1.13937,0.00377714,0.00377714,0.00377714
90,7985.34,0.92915,0.41119,1.07126,0.97501,0.96883,0.98576,0.70993,1.10086,0.36419,1.13959,0.00370643,0.00370643,0.00370643
91,8318.11,0.9296,0.40989,1.07282,0.97589,0.96907,0.98569,0.70966,1.10138,0.36473,1.13993,0.00363571,0.00363571,0.00363571
92,8655.53,0.92691,0.41153,1.07308,0.97547,0.9692,0.9859,0.70979,1.10147,0.3644,1.14002,0.003565,0.003565,0.003565
93,8986.78,0.92279,0.40653,1.06886,0.97448,0.97095,0.9859,0.70997,1.10147,0.36375,1.13982,0.00349429,0.00349429,0.00349429
94,9307.18,0.91733,0.40524,1.0699,0.97369,0.9712,0.98523,0.71026,1.10157,0.36363,1.14,0.00342357,0.00342357,0.00342357
95,9643.9,0.91927,0.40467,1.06745,0.97368,0.97095,0.98545,0.71122,1.10196,0.36317,1.14035,0.00335286,0.00335286,0.00335286
96,9979.92,0.91157,0.39974,1.06354,0.97415,0.97121,0.98575,0.71148,1.10209,0.36279,1.14051,0.00328214,0.00328214,0.00328214
97,10315.4,0.91363,0.40052,1.06502,0.97383,0.97095,0.98593,0.71166,1.10222,0.36243,1.14058,0.00321143,0.00321143,0.00321143
